OBJECTID,LAD20CD,LAD20NM,LAD20NMW,BNG_E,BNG_N,LONG,LAT,Shape__Area,Shape__Length
321,N09000007,Lisburn and Castlereagh, ,138712,518920,-6.03545,54.49752,510440564.104111,163009.211284189
322,N09000008,Mid and East Antrim, ,133943,560151,-6.14645,54.86462,1061382497.38097,227466.924395825
323,N09000009,Mid Ulster, ,83920,528564,-6.8889,54.55273,1957254689.28272,310993.45472401
324,N09000010,"Newry, Mourne and Down", ,133006,480432,-6.08891,54.14953,1682460925.58524,360876.713091902
325,N09000011,Ards and North Down, ,164321,524944,-5.64568,54.56409,566562735.723274,180332.404442242
326,S12000005,Clackmannanshire, ,291159,696335,-3.75344,56.14724,158977268.476089,91520.3930544484
327,S12000006,Dumfries and Galloway, ,270645,579856,-4.02863,55.09621,6436342858.83978,1113315.3061916
328,S12000008,East Ayrshire, ,255398,624935,-4.29057,55.49674,1270379319.57849,330821.192352426
329,S12000010,East Lothian, ,354854,672351,-2.72435,55.94207,679249363.339783,190884.401162563
330,S12000011,East Renfrewshire, ,251929,653115,-4.3606,55.74868,174253410.744293,91778.5309273099
331,S12000013,Na h-Eileanan Siar, ,126473,932862,-6.65722,58.19938,3093724866.91667,3416489.19469175
332,S12000014,Falkirk, ,289661,679536,-3.7706,55.99604,297321194.839462,140931.391648166
333,S12000017,Highland, ,241018,858292,-4.66103,57.58657,26158371296.4451,4768211.51768197
334,S12000018,Inverclyde, ,227922,670894,-4.75387,55.9003,161919372.718124,75797.1684760077
335,S12000019,Midlothian, ,330088,659217,-3.11738,55.82111,355263255.608215,124135.505289217
336,S12000020,Moray, ,328024,843593,-3.20187,57.47683,2237409510.40987,444038.465459843
337,S12000021,North Ayrshire, ,228996,651640,-4.7246,55.72789,885398869.161964,330661.416894953
338,S12000023,Orkney Islands, ,348293,1006584,-2.90025,58.94334,1015641764.28722,1097041.78459435
339,S12000026,Scottish Borders, ,345891,626135,-2.85866,55.52594,4739226981.54536,499466.882456033
340,S12000027,Shetland Islands, ,434516,1180307,-1.37344,60.50495,1467371534.88193,2051935.52323841
341,S12000028,South Ayrshire, ,226545,596271,-4.72899,55.23008,1224339735.2925,317928.049329737
342,S12000029,South Lanarkshire, ,284634,636071,-3.83272,55.60453,1773926970.48004,280018.755747185
343,S12000030,Stirling, ,255980,708769,-4.32595,56.24953,2253444637.5519,335045.738764362
344,S12000033,Aberdeen City, ,387763,808479,-2.20398,57.16697,185614132.768677,118816.976964561
345,S12000034,Aberdeenshire, ,352284,816277,-2.79208,57.23469,6317871095.11195,754507.344811634
346,S12000035,Argyll and Bute, ,200740,715443,-5.22114,56.28944,7005207968.57512,3448869.85214435
347,S12000036,City of Edinburgh, ,320193,669416,-3.27826,55.91119,263365056.11911,105654.047283109
348,S12000038,Renfrewshire, ,239305,664698,-4.56834,55.84862,261467994.15184,127507.203204403
349,S12000039,West Dunbartonshire, ,242904,681586,-4.52074,56.0014,177289524.980347,100528.983924862
350,S12000040,West Lothian, ,299483,668514,-3.60909,55.8992,428826800.623032,131755.462502173
351,S12000041,Angus, ,345518,759594,-2.89189,56.7248,2185109868.86739,310461.185888768
352,S12000042,Dundee City, ,340291,732145,-2.97095,56.4776,59850600.8511353,46140.5324473667
353,S12000045,East Dunbartonshire, ,261240,676154,-4.22417,55.95829,174481272.454239,97680.8375765718
354,S12000047,Fife, ,339197,704726,-2.98235,56.23117,1325514493.50443,336771.048279172
355,S12000048,Perth and Kinross, ,284304,744186,-3.8848,56.57529,5383646472.12784,610971.24838625
356,S12000049,Glasgow City, ,261534,667033,-4.21479,55.87649,174632786.655838,132815.997943671
357,S12000050,North Lanarkshire, ,277984,665608,-3.9514,55.86814,472356013.387894,160413.041015427
358,W06000001,Isle of Anglesey,Ynys Môn,245212,378343,-4.32306,53.27942,714747748.866722,337243.872619294
359,W06000002,Gwynedd,Gwynedd,280555,334966,-3.77715,52.89883,2548021638.68805,598105.30484812
360,W06000003,Conwy,Conwy,283293,362563,-3.74646,53.14739,1130303461.85892,276244.042478013
361,W06000004,Denbighshire,Sir Ddinbych,309843,355416,-3.34761,53.08833,838578886.277008,224388.271327253
362,W06000005,Flintshire,Sir y Fflint,321134,369280,-3.18248,53.21471,439652221.195694,229595.358441465
363,W06000006,Wrexham,Wrecsam,333523,345387,-2.99203,53.00167,503684318.663422,184240.465520894
364,W06000008,Ceredigion,Ceredigion,267127,268437,-3.94993,52.29795,1788817893.66951,360945.478806626
365,W06000009,Pembrokeshire,Sir Benfro,199821,221392,-4.90818,51.85513,1618112735.63135,665569.123132148
366,W06000010,Carmarthenshire,Sir Gaerfyrddin,247954,224133,-4.2111,51.89495,2371034466.87722,559604.349928768
367,W06000011,Swansea,Abertawe,264022,197308,-3.96723,51.65806,377520835.295624,253858.792464798
368,W06000012,Neath Port Talbot,Castell-nedd Port Talbot,279261,195412,-3.74638,51.6445,442232461.073147,176810.999481453
369,W06000013,Bridgend,Pen-y-bont ar Ogwr,288231,185870,-3.61375,51.5606,250841009.016907,87976.2595051785
370,W06000014,Vale of Glamorgan,Bro Morgannwg,302946,173081,-3.39803,51.44836,331270513.484032,104665.418225181
371,W06000015,Cardiff,Caerdydd,315273,178887,-3.22208,51.50254,142343624.035618,76943.9688127201
372,W06000016,Rhondda Cynon Taf,Rhondda Cynon Taf,302237,192395,-3.41359,51.62185,424134187.0298,127114.928724166
373,W06000018,Caerphilly,Caerffili,317245,195259,-3.19753,51.65001,277352303.206162,113804.922191333
374,W06000019,Blaenau Gwent,Blaenau Gwent,318236,206771,-3.18592,51.75364,108725540.681915,64663.0036647055
375,W06000020,Torfaen,Torfaen,327459,200480,-3.05101,51.69836,126223129.768017,78980.2905661471
376,W06000021,Monmouthshire,Sir Fynwy,337812,209231,-2.9028,51.77827,850251565.426125,218466.991552775
377,W06000022,Newport,Casnewydd,337897,187432,-2.89769,51.58231,190374023.945911,148937.318033492
378,W06000023,Powys,Powys,302329,273255,-3.43531,52.34864,5195420371.43076,590016.987735576
379,W06000024,Merthyr Tydfil,Merthyr Tudful,305916,206424,-3.36425,51.74858,111930293.773514,65314.3209843588
